sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0457,0.9044,0.0499
6.9,3.1,5.1,2.3,virginica,0.0001,0.0374,0.9625
5.1,2.5,3.0,1.1,versicolor,0.2968,0.7,0.0032
4.4,2.9,,0.2,setosa,0.8712,0.1288,0.0
5.9,3.0,5.1,1.8,virginica,0.0067,0.2945,0.6988
5.5,3.5,1.3,0.2,setosa,0.9911,0.0089,0.0
5.6,,3.6,1.3,versicolor,0.2276,0.7569,0.0155
6.5,3.0,5.2,2.0,virginica,0.0006,0.1222,0.8772
5.3,3.7,1.5,0.2,setosa,0.9963,0.0037,0.0
5.1,3.4,1.5,,setosa,0.978,0.0219,0.0
6.1,2.8,4.0,1.3,versicolor,0.0408,0.9234,0.0358
5.5,2.4,3.7,1.0,versicolor,0.0634,0.9292,0.0074
7.7,3.0,6.1,2.3,virginica,0.0,0.009,0.991
6.9,3.1,4.9,1.5,versicolor,0.0059,0.7721,0.2219
6.0,2.2,5.0,1.5,versicolor,0.0009,0.5427,0.4563
